id,iva_texto,nombre,codigo_barra,descripcion,tipo_producto,costo,pvp,stock,stock_previo,imagen,fecha_caducidad,control_fecha_caducidad,vendible,visible,descuento,estado,fecha_registro,categoria_id,ice_id,iva_id,presentacion_id,ubicacion_id,utilidad,codigo_principal,costo_utilidad,ubicacion_texto
930,IVA 12 %,BUJIA NGK BKR5E 90801 CIELO SWIFT TROOPER V-6 VITARA SEPHI 5 8    ALTA ROT    7938,Desconocido,Desconocido,1,1.75,2.5,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 11:24:45.446786,12,Desconocido,1,3.9478260869565216,23.27777777777778,27.55,NK-90801,2.2321,Ubicación no definida
931,IVA 12 %,BUJIA NGK BPR5EY 94743 GREEN ECOLOGICA     13 16     ALTA ROT            2828,Desconocido,Desconocido,1,1.4375,2.5,0,0,,2022-04-03,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-03 11:24:45.456700,12,Desconocido,1,3.9478260869565216,23.27777777777778,55.28,NK-94743,2.2321,Ubicación no definida
935,IVA 15 %,AMALIE CANECA 15W40  SYNTHETIC BLEND CK-4 CANECA 5 GALS,Desconocido,Desconocido,1,75.2174,108.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 11:45:31.731413,3,Desconocido,1,3.9478260869565216,23.27777777777778,24.86,657699791049,93.9164,Ubicación no definida
936,IVA 12 %,IMPUESTOS LITROS DE ACEITE,Desconocido,Desconocido,1,0.01,0.01,244,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 11:45:31.749030,12,Desconocido,1,3.9478260869565216,23.27777777777778,0.0,SRV068,0.01,Ubicación no definida
937,IVA 15 %,ACEITE AMALIE 15W40 SYNTHETIC BLEND CK-4 LITRO,Desconocido,Desconocido,1,4.304,6.0,83,0,,2022-07-12,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 11:50:48.064637,3,Desconocido,1,6.0,23.27777777777778,21.22,Desconocido,5.2173,Ubicación no definida
938,IVA 12 %,ADVANCE AO1314 HINO DUTRO 0406500 EURO 3 GHGDFS FULL FLOW,Desconocido,Desconocido,1,6.2,9.5,0,0,,2022-07-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.514378,2,Desconocido,1,3.9478260869565216,23.27777777777778,36.81,20GE021314,8.4822,Ubicación no definida
939,IVA 12 %,F PARTMO PAA3786 F AC PARTMO 12U HINO FC,Desconocido,Desconocido,1,4.91,7.5,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.526955,12,Desconocido,1,3.9478260869565216,23.27777777777778,36.38,2187,6.6963,Ubicación no definida
940,IVA 12 %,ADVANCE AA9632 HYUNDAI GETZ 13 2002,Desconocido,Desconocido,1,3.5,6.0,1,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.537655,12,Desconocido,1,3.9478260869565216,23.27777777777778,53.06,7862125911226,5.3571,Ubicación no definida
941,IVA 12 %,F PENTIUS PLB 2 PH2,Desconocido,Desconocido,1,2.84,5.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.552671,12,Desconocido,1,3.9478260869565216,23.27777777777778,57.19,876463002468,4.4642,Ubicación no definida
942,IVA 12 %,"FIL. ACE. SHOGUN C-1717 FORD TRADER, HINO CITY 2014",Desconocido,Desconocido,1,4.5266,8.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.563125,2,Desconocido,1,3.9478260869565216,23.27777777777778,57.8,c1717sh,7.143,Ubicación no definida
943,IVA 12 %,ADVANCE AO1522 ISUZU NPR NKR 98FVRNPRNQR 11 SERIES REWARD DOBLE FLUJO,Desconocido,Desconocido,1,6.6,12.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.576411,2,Desconocido,1,3.9478260869565216,23.27777777777778,62.34,GE021522,10.7144,Ubicación no definida
944,IVA 12 %,QS XFORCE DIESEL API CF SAE 25W60 LITROS,Desconocido,Desconocido,1,3.1695,5.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.592265,3,Desconocido,1,6.0,23.27777777777778,40.85,10QS010066,4.4642,Ubicación no definida
945,IVA 12 %,MG CANECA  AZUL  MULTIPROPOSITO OIL EP2 CHASIS2 GRASA,Desconocido,Desconocido,1,29.46,42.0,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.604176,12,Desconocido,1,3.9478260869565216,23.27777777777778,27.29,MG080001,37.4996,Ubicación no definida
946,IVA 15 %,"AMALIE 20W50 SYNTHETIC BLEND SN, SM/CF GALÓN",657699756970,Desconocido,1,17.38,26.5,0,0,,2022-04-08,1970-01-01 00:00:00.000000000,1,0,0,1,2022-04-08 12:08:09.615653,3,Desconocido,1,8.0,26.0,32.59,657699756970,23.0441,PERCHA MADERA 1_06
